pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,candidate1_4,candidate1_5,office2,candidate2_1,candidate2_2,candidate2_3,candidate2_4,candidate2_5,office3,candidate3_1,candidate3_2,candidate3_3,candidate3_4,candidate3_5,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,candidate6_2,office7,candidate7_1,candidate7_2,office8,candidate8_1,candidate8_2,office9,candidate9_1,candidate9_2
MCDOWELL-20181106-Style004-OLD_FORT_2-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/MCDOWELL-20181106-Style004-OLD_FORT_2-GEN.pdf,NC District Court Judge District 29A Seat 1,Robert K. Martelle,,,,,NC District Court Judge District 29A Seat 2,Corey J. MacKinnon,Randy Pool,,,,NC District Court Judge District 29A Seat 3,Laura Anne Powell,,,,,,,,,,,,,,,,,,,,,,
GRANVILLE-20181106-Style007-CORINTH-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/GRANVILLE-20181106-Style007-CORINTH-GEN.pdf,NC Superior Court Judge District 9 Seat 1,Steven E. Hight,Paul Ross,Lawrence Tickle,John Dunlow,,NC Superior Court Judge District 9 Seat 2,Cindy Sturges,Mitchell Styers,Carolyn J. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAY-20181106-Style008-TUSQUITTEE-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/CLAY-20181106-Style008-TUSQUITTEE-GEN.pdf,NC District Court Judge District 30 Seat 1,Donna Forga,,,,,NC District Court Judge District 30 Seat 2,Leo J. Phillips,Kristina L. Earwood,,,,NC District Court Judge District 30 Seat 3,Roy Wijewickrama,,,,,,,,,,,,,,,,,,,,,,
HARNETT-20181106-Style006-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/HARNETT-20181106-Style006-GEN.pdf,NC District Court Judge District 11 Seat 1,Joy Jones,,,,,NC District Court Judge District 11 Seat 2,Addie Rawls,,,,,NC District Court Judge District 11 Seat 3,Caron Stewart,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY-20181106-Style036-UWHARRIE-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/MONTGOMERY-20181106-Style036-UWHARRIE-GEN.pdf,NC District Court Judge District 20A Seat 1,William C. (Bill) Tucker,,,,,NC District Court Judge District 20A Seat 2,John R. Nance,,,,,NC District Court Judge District 20A Seat 3,Beverly Routh Spencer,Thai Vang,,,,,,,,,,,,,,,,,,,,,
ROCKINGHAM-20181106-Style011-MCCOY-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/ROCKINGHAM-20181106-Style011-MCCOY-GEN.pdf,NC District Court Judge District 17A Seat 1,Chris Freeman,,,,,NC District Court Judge District 17A Seat 2,Christine Fields Strader,,,,,NC District Court Judge District 17A Seat 3,Mike Gentry,Gabriel E. (Gabe) Zeller,Erica Standfield Brandon,,,,,,,,,,,,,,,,,,,,
GUILFORD-20181106-Style020-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/GUILFORD-20181106-Style020-GEN.pdf,NC District Court Judge District 18 Seat 1,"H. Thomas (Tom) Jarrell, Jr.",,,,,NC District Court Judge District 18 Seat 2,Jonathan G. (Jon) Kreider,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20181106-Style030-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/GUILFORD-20181106-Style030-GEN.pdf,NC Superior Court Judge District 18D Seat 1,Gavin Reardon,William A. (Bill) Wood,,,,NC District Court Judge District 18 Seat 1,"H. Thomas (Tom) Jarrell, Jr.",,,,,NC District Court Judge District 18 Seat 2,Jonathan G. (Jon) Kreider,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
PITT-20181106-Style016-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/PITT-20181106-Style016-GEN.pdf,NC District Court Judge District 3A Seat 1,Mario E. Perez,Jarrette Pittman,Daniel Hines Entzminger,,,NC District Court Judge District 3A Seat 2,Lee Teague,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANLY-20181106-Style001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2018-11-06/STANLY-20181106-Style001-GEN.pdf,NC District Court Judge District 20A Seat 1,William C. (Bill) Tucker,,,,,NC District Court Judge District 20A Seat 2,John R. Nance,,,,,NC District Court Judge District 20A Seat 3,Beverly Routh Spencer,Thai Vang,,,,,,,,,,,,,,,,,,,,,
