,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
260,buycycle,de,2019,Scott,Spark RC 900 World Cup | SRAM XX1,new,Crosscountry,1,,M,https://buycycle.com/de/bike/spark-rc-900-world-cup-263d4cf31c66ef,4350 ,6999
261,buycycle,de,2022,Kona,Big Honzo | Shimano Deore,new,Trail,1,,L,https://buycycle.com/de/bike/big-honzo-1,1200 ,1599
262,buycycle,de,2021,Giant,Trance | Shimano Deore,new,Trail,1,,L,https://buycycle.com/de/bike/trance-2,2100 ,2450
263,buycycle,de,2017,Specialized,Epic Hardtail Expert Carbon World Cup | Other SRAM,new,Crosscountry,1,,M,https://buycycle.com/de/bike/epic-hardtail-expert-carbon-world-cup-2,1700 ,3999
264,buycycle,de,2022,Orbea,OCCAM H30 | Shimano Deore,new,Trail,1,,M,https://buycycle.com/de/bike/occam-h30-29,1800 ,2399
265,buycycle,de,2021,Trek,Supercaliber 9.9 XX1 | SRAM XX1 Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/supercaliber-99-xx1-5,4500 ,10599
266,buycycle,de,2020,Rose,COUNT SOLO 4 | Shimano Deore XT,new,Crosscountry,1,,M,https://buycycle.com/de/bike/count-solo-4-1,950 ,1399
267,buycycle,de,2022,Specialized,Stumpjumper Alloy | SRAM SX Eagle,new,Trail,1,,M,https://buycycle.com/de/bike/stumpjumper-alloy-26,2000 ,2700
268,buycycle,de,2019,CUBE,STEREO 120 TM 29 | SRAM GX Eagle,new,Trail,1,,S,https://buycycle.com/de/bike/stereo-120-tm-29-10,1350 ,2499
269,buycycle,de,2020,Focus,O1E 9.9 | SRAM NX Eagle,new,Crosscountry,1,,L,https://buycycle.com/de/bike/o1e-99-1,3899 ,7999
270,buycycle,de,2021,Santa Cruz,Hightower XT / Carbon C / 29 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/hightower-xt-carbon-c-29-6,5100 ,6749
271,buycycle,de,2018,Orbea,OCCAM TR H50 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/occam-tr-h50-363d3f68bd965a,980 ,2499
272,buycycle,de,2020,Trek,Roscoe 6 | Shimano Deore,new,Trail,1,,L,https://buycycle.com/de/bike/roscoe-6-14,950 ,1019
273,buycycle,de,2021,Radon,SCART LIGHT 8.0 | Shimano Deore,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/scart-light-80-5,600 ,729
274,buycycle,de,2022,Canyon,Torque 29 CF 7 | SRAM GX Eagle,new,Downhill,1,,M,https://buycycle.com/de/bike/torque-29-cf-7-5,3200 ,3699
275,buycycle,de,2020,Haibike,SDURO HardSeven 1.0 | Shimano Altus,Refurbished,Trail,1,,M,https://buycycle.com/de/bike/sduro-hardseven-10-3,1600 ,1999
276,buycycle,de,2020,Van Nicholas,J.Guillem Tomir | Shimano Deore XT,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/jguillem-tomir,2495 ,5404
277,buycycle,de,2022,Orbea,RALLON M10 | SRAM GX Eagle AXS,new,Enduro,1,,L,https://buycycle.com/de/bike/rallon-m10-22,4500 ,5299
278,buycycle,de,2016,Bold,Linkin Trail Classic | SRAM XX1,new,Trail,1,,L,https://buycycle.com/de/bike/linkin-trail-classic-1,2500 ,5679
