url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,votes_yes13,votes_no13,votes_yes14,votes_no14,votes_yes15,votes_no15,candidate16,votes_yes16,votes_no16,candidate17,votes_yes17,votes_no17,candidate18,votes_yes18,votes_no18,candidate19,votes_yes19,votes_no19
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),8th Judicial District (Northumberland County),"SAYLOR, CHARLES CHUCK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,460","3,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"MCCORMICK, RICHARD E",,,"PEZZE, DEBRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,837","14,568","43,023","16,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"BRATTON, BRUCE F",,,"TURGEON, JEANNINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,884","7,668","22,702","8,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),14th Judicial District (Fayette County),"LESKINEN, STEVE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,993","3,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"SARCIONE, ANTHONY A",,,"STREITEL, PHYLLIS R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,352","13,255","44,343","13,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),19th Judicial District (York County),"BLACKWELL, PENNY L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,088","6,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),21st Judicial District (Schuylkill County),"DOLBIN, CYRUS PALMER",,,"MILLER, CHARLES M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,721","6,424","22,693","6,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"CAMPBELL, MARY ANN",,,"PARISI, THOMAS G",,,"SCHMEHL, PETER W",,,"SPRECHER, JEFFREY KENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,436","9,895","27,344","9,972","28,631","9,269","27,620","9,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),27th Judicial District (Washington County),"O'DELL-SENECA, DEBBIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,113","13,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=20&ElectionType=G&IsActive=0,2011 Municipal Election,Judge of the Court of Common Pleas (Retention),30th Judicial District (Crawford County),"SPATARO, JOHN F",,,"VARDARO, ANTHONY J",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,350","2,224","11,546","2,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
