url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),5th Judicial District (Allegheny County),"CLARK, KIM BERKELEY",,,"COLVILLE, ROBERT",,,"EATON, KIM DIANE",,,"LUTTY, PAUL F.",,,"MANNING, JEFFREY A.",,,"SASINOSKI, KEVIN G.",,,"STRASSBURGER, GENE",,,,,,,,,,,,,,,,,,,,,,,,"113,253","47,625","127,484","44,102","110,923","47,264","107,218","49,877","120,416","50,663","107,924","48,289","109,909","49,611",,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),6th Judicial District (Erie County),"DOMITROVICH, STEPHANIE",,,"DUNLAVEY, MICHAEL E.",,,"KELLY, ELIZABETH K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,562","14,226","36,713","9,905","38,716","7,669",,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),7th Judicial District (Bucks County),"BOYLAN, REA B.",,,"RUBENSTEIN, ALAN M.",,,"SCOTT, SUSAN DEVLIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,809","14,004","52,045","12,968","47,651","13,695",,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),10th Judicial District (Westmoreland County),"BELL, AL",,,"MARSILI, TONY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,247","19,660","35,760","19,892",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),11th Judicial District (Luzerne County),"BURKE, THOMAS F.",,,"OLSZEWSKI, PETER PAUL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,617","22,489","27,169","33,828",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),12th Judicial District (Dauphin County),"CHERRY, JOHN F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,466","8,635",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),14th Judicial District (Fayette County),"WAGNER, JOHN F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,298","3,757",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),15th Judicial District (Chester County),"MAHON, WILLIAM P.",,,"SHENKIN, ROBERT J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,892","12,466","39,383","13,897",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),18th Judicial District (Clarion County),"ARNER, JAMES G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,423","1,438",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"KELLER, SCOTT D.",,,"LASH, SCOTT E.",,,"LUDGATE, LINDA K.M.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,217","9,689","26,365","10,002","26,192","11,751",,,,,,,,,,,,
