url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,candidate16,party16,votes16,candidate17,party17,votes17,candidate18,party18,votes18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),21st Judicial District (Schuylkill County),"GOODMAN, JAMES P",,,"MILLER, CHARLES M",,,,,,,,,,,,,,,"21,530","6,302","20,698","6,660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),23rd Judicial District (Berks County),"PARISI, THOMAS G",,,"SPRECHER, JEFFREY K",,,,,,,,,,,,,,,"40,623","17,686","41,835","17,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),26th Judicial District (Columbia & Montour Counties),"NORTON, GARY",,,,,,,,,,,,,,,,,,"11,145","3,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),27th Judicial District (Washington County),"GILMAN, GARY",,,,,,,,,,,,,,,,,,"26,286","16,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),30th Judicial District (Crawford County),"SPATARO, JOHN F",,,,,,,,,,,,,,,,,,"12,189","3,121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),31st Judicial District (Lehigh County),"REICHLEY, DOUGLAS G",,,,,,,,,,,,,,,,,,"39,871","21,111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"ANGELOS, SPIROS E",,,"CAPUZZI, JOHN P SR",,,"DURHAM, KATHRYNANN",,,"GREEN, G MICHAEL",,,"KELLY, KEVIN F",,,,,,"77,917","48,850","80,168","47,507","80,073","47,224","79,905","47,043","81,900","45,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),38th Judicial District (Montgomery County),"BRANCA, THOMAS C",,,"HAAZ, RICHARD P",,,,,,,,,,,,,,,"112,522","58,458","141,438","41,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),40th Judicial District (Indiana County),"BIANCO, THOMAS M",,,,,,,,,,,,,,,,,,"14,628","4,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),43rd Judicial District (Monroe County),"HIGGINS, STEVE",,,"WILLIAMSON, DAVID J",,,,,,,,,,,,,,,"15,232","8,383","15,324","8,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
